seed,proposal_index,action,daily_rows
277,1,PLACE_AT_5,150
277,2,PLACE_AT_1,150
277,2,PLACE_AT_10,150
277,2,PLACE_AT_2,150
277,2,PLACE_AT_3,150
277,2,PLACE_AT_5,150
277,3,PLACE_AT_1,150
277,3,PLACE_AT_10,150
277,3,PLACE_AT_2,150
277,3,PLACE_AT_3,150
277,3,PLACE_AT_5,150
277,4,PLACE_AT_1,150
277,4,PLACE_AT_10,150
277,4,PLACE_AT_2,150
277,4,PLACE_AT_3,150
277,4,PLACE_AT_5,150
277,5,PLACE_AT_1,150
277,5,PLACE_AT_10,150
277,5,PLACE_AT_2,150
277,5,PLACE_AT_3,150
277,5,PLACE_AT_5,150
277,6,PLACE_AT_1,150
277,6,PLACE_AT_10,150
277,6,PLACE_AT_2,150
277,6,PLACE_AT_3,150
277,6,PLACE_AT_5,150
277,7,PLACE_AT_1,150
277,7,PLACE_AT_10,150
277,7,PLACE_AT_2,150
277,7,PLACE_AT_3,150
277,7,PLACE_AT_5,150
277,8,PLACE_AT_1,150
277,8,PLACE_AT_10,150
277,8,PLACE_AT_2,150
277,8,PLACE_AT_3,150
277,8,PLACE_AT_5,150
281,1,PLACE_AT_1,150
281,1,PLACE_AT_10,150
281,1,PLACE_AT_2,150
281,1,PLACE_AT_3,150
281,1,PLACE_AT_5,150
281,2,PLACE_AT_1,150
281,2,PLACE_AT_10,150
281,2,PLACE_AT_2,150
281,2,PLACE_AT_3,150
281,2,PLACE_AT_5,150
281,3,PLACE_AT_1,150
281,3,PLACE_AT_10,150
281,3,PLACE_AT_2,150
281,3,PLACE_AT_3,150
281,3,PLACE_AT_5,150
281,4,PLACE_AT_1,150
281,4,PLACE_AT_10,150
281,4,PLACE_AT_2,150
281,4,PLACE_AT_3,150
281,4,PLACE_AT_5,150
281,5,PLACE_AT_1,150
281,5,PLACE_AT_10,150
281,5,PLACE_AT_2,150
281,5,PLACE_AT_3,150
281,5,PLACE_AT_5,150
281,6,PLACE_AT_1,150
281,6,PLACE_AT_10,150
281,6,PLACE_AT_2,150
281,6,PLACE_AT_3,150
281,6,PLACE_AT_5,150
281,7,PLACE_AT_1,150
281,7,PLACE_AT_10,150
281,7,PLACE_AT_2,150
281,7,PLACE_AT_3,150
281,7,PLACE_AT_5,150
281,8,PLACE_AT_1,150
281,8,PLACE_AT_10,150
281,8,PLACE_AT_2,150
281,8,PLACE_AT_3,150
281,8,PLACE_AT_5,150
283,1,PLACE_AT_1,150
283,1,PLACE_AT_10,150
283,1,PLACE_AT_2,150
283,1,PLACE_AT_3,150
283,1,PLACE_AT_5,150
283,2,PLACE_AT_1,150
283,2,PLACE_AT_10,150
283,2,PLACE_AT_2,150
283,2,PLACE_AT_3,150
283,2,PLACE_AT_5,150
283,3,PLACE_AT_1,150
283,3,PLACE_AT_10,150
283,3,PLACE_AT_2,150
283,3,PLACE_AT_3,150
283,3,PLACE_AT_5,150
283,4,PLACE_AT_1,150
283,4,PLACE_AT_10,150
283,4,PLACE_AT_2,150
283,4,PLACE_AT_3,150
283,4,PLACE_AT_5,150
283,5,PLACE_AT_1,150
283,5,PLACE_AT_10,150
283,5,PLACE_AT_2,150
283,5,PLACE_AT_3,150
283,5,PLACE_AT_5,150
283,6,PLACE_AT_1,150
283,6,PLACE_AT_10,150
283,6,PLACE_AT_2,150
283,6,PLACE_AT_3,150
283,6,PLACE_AT_5,150
283,7,PLACE_AT_1,150
283,7,PLACE_AT_10,150
283,7,PLACE_AT_2,150
283,7,PLACE_AT_3,150
283,7,PLACE_AT_5,150
283,8,PLACE_AT_1,150
283,8,PLACE_AT_10,150
283,8,PLACE_AT_2,150
283,8,PLACE_AT_3,150
283,8,PLACE_AT_5,150
293,1,PLACE_AT_1,150
293,1,PLACE_AT_10,150
293,1,PLACE_AT_2,150
293,1,PLACE_AT_3,150
293,1,PLACE_AT_5,150
293,2,PLACE_AT_1,150
293,2,PLACE_AT_10,150
293,2,PLACE_AT_2,150
293,2,PLACE_AT_3,150
293,2,PLACE_AT_5,150
293,3,PLACE_AT_1,150
293,3,PLACE_AT_10,150
293,3,PLACE_AT_2,150
293,3,PLACE_AT_3,150
293,3,PLACE_AT_5,150
293,4,PLACE_AT_1,150
293,4,PLACE_AT_10,150
293,4,PLACE_AT_2,150
293,4,PLACE_AT_3,150
293,4,PLACE_AT_5,150
293,5,PLACE_AT_1,150
293,5,PLACE_AT_10,150
293,5,PLACE_AT_2,150
293,5,PLACE_AT_3,150
293,5,PLACE_AT_5,150
293,6,PLACE_AT_1,150
293,6,PLACE_AT_10,150
293,6,PLACE_AT_2,150
293,6,PLACE_AT_3,150
293,6,PLACE_AT_5,150
293,7,PLACE_AT_1,150
293,7,PLACE_AT_10,150
293,7,PLACE_AT_2,150
293,7,PLACE_AT_3,150
293,7,PLACE_AT_5,150
293,8,PLACE_AT_1,150
293,8,PLACE_AT_10,150
293,8,PLACE_AT_2,150
293,8,PLACE_AT_3,150
293,8,PLACE_AT_5,150
307,1,PLACE_AT_1,150
307,1,PLACE_AT_10,150
307,1,PLACE_AT_2,150
307,1,PLACE_AT_3,150
307,1,PLACE_AT_5,150
307,2,PLACE_AT_1,150
307,2,PLACE_AT_10,150
307,2,PLACE_AT_2,150
307,2,PLACE_AT_3,150
307,2,PLACE_AT_5,150
307,3,PLACE_AT_1,150
307,3,PLACE_AT_10,150
307,3,PLACE_AT_2,150
307,3,PLACE_AT_3,150
307,3,PLACE_AT_5,150
307,4,PLACE_AT_1,150
307,4,PLACE_AT_10,150
307,4,PLACE_AT_2,150
307,4,PLACE_AT_3,150
307,4,PLACE_AT_5,150
307,5,PLACE_AT_1,150
307,5,PLACE_AT_10,150
307,5,PLACE_AT_2,150
307,5,PLACE_AT_3,150
307,5,PLACE_AT_5,150
307,6,PLACE_AT_1,150
307,6,PLACE_AT_10,150
307,6,PLACE_AT_2,150
307,6,PLACE_AT_3,150
307,6,PLACE_AT_5,150
307,7,PLACE_AT_1,150
307,7,PLACE_AT_10,150
307,7,PLACE_AT_2,150
307,7,PLACE_AT_3,150
307,7,PLACE_AT_5,150
307,8,PLACE_AT_1,150
307,8,PLACE_AT_10,150
307,8,PLACE_AT_2,150
307,8,PLACE_AT_3,150
307,8,PLACE_AT_5,150
311,1,PLACE_AT_1,150
311,1,PLACE_AT_10,150
311,1,PLACE_AT_2,150
311,1,PLACE_AT_3,150
311,1,PLACE_AT_5,150
311,2,PLACE_AT_1,150
311,2,PLACE_AT_10,150
311,2,PLACE_AT_2,150
311,2,PLACE_AT_3,150
311,2,PLACE_AT_5,150
311,3,PLACE_AT_1,150
311,3,PLACE_AT_10,150
311,3,PLACE_AT_2,150
311,3,PLACE_AT_3,150
311,3,PLACE_AT_5,150
311,4,PLACE_AT_1,150
311,4,PLACE_AT_10,150
311,4,PLACE_AT_2,150
311,4,PLACE_AT_3,150
311,4,PLACE_AT_5,150
311,5,PLACE_AT_1,150
311,5,PLACE_AT_10,150
311,5,PLACE_AT_2,150
311,5,PLACE_AT_3,150
311,5,PLACE_AT_5,150
311,6,PLACE_AT_1,150
311,6,PLACE_AT_10,150
311,6,PLACE_AT_2,150
311,6,PLACE_AT_3,150
311,6,PLACE_AT_5,150
311,7,PLACE_AT_1,150
311,7,PLACE_AT_10,150
311,7,PLACE_AT_2,150
311,7,PLACE_AT_3,150
311,7,PLACE_AT_5,150
311,8,PLACE_AT_1,150
311,8,PLACE_AT_10,150
311,8,PLACE_AT_2,150
311,8,PLACE_AT_3,150
311,8,PLACE_AT_5,150
313,1,PLACE_AT_1,150
313,1,PLACE_AT_10,150
313,1,PLACE_AT_2,150
313,1,PLACE_AT_3,150
313,1,PLACE_AT_5,150
313,2,PLACE_AT_1,150
313,2,PLACE_AT_10,150
313,2,PLACE_AT_2,150
313,2,PLACE_AT_3,150
313,2,PLACE_AT_5,150
313,3,PLACE_AT_1,150
313,3,PLACE_AT_10,150
313,3,PLACE_AT_2,150
313,3,PLACE_AT_3,150
313,3,PLACE_AT_5,150
313,4,PLACE_AT_1,150
313,4,PLACE_AT_10,150
313,4,PLACE_AT_2,150
313,4,PLACE_AT_3,150
313,4,PLACE_AT_5,150
313,5,PLACE_AT_1,150
313,5,PLACE_AT_10,150
313,5,PLACE_AT_2,150
313,5,PLACE_AT_3,150
313,5,PLACE_AT_5,150
313,6,PLACE_AT_1,150
313,6,PLACE_AT_10,150
313,6,PLACE_AT_2,150
313,6,PLACE_AT_3,150
313,6,PLACE_AT_5,150
313,7,PLACE_AT_1,150
313,7,PLACE_AT_10,150
313,7,PLACE_AT_2,150
313,7,PLACE_AT_3,150
313,7,PLACE_AT_5,150
313,8,PLACE_AT_1,150
313,8,PLACE_AT_10,150
313,8,PLACE_AT_2,150
313,8,PLACE_AT_3,150
313,8,PLACE_AT_5,150
317,1,PLACE_AT_1,150
317,1,PLACE_AT_10,150
317,1,PLACE_AT_2,150
317,1,PLACE_AT_3,150
317,1,PLACE_AT_5,150
317,2,PLACE_AT_1,150
317,2,PLACE_AT_10,150
317,2,PLACE_AT_2,150
317,2,PLACE_AT_3,150
317,2,PLACE_AT_5,150
317,3,PLACE_AT_1,150
317,3,PLACE_AT_10,150
317,3,PLACE_AT_2,150
317,3,PLACE_AT_3,150
317,3,PLACE_AT_5,150
317,4,PLACE_AT_1,150
317,4,PLACE_AT_10,150
317,4,PLACE_AT_2,150
317,4,PLACE_AT_3,150
317,4,PLACE_AT_5,150
317,5,PLACE_AT_1,150
317,5,PLACE_AT_10,150
317,5,PLACE_AT_2,150
317,5,PLACE_AT_3,150
317,5,PLACE_AT_5,150
317,6,PLACE_AT_1,150
317,6,PLACE_AT_10,150
317,6,PLACE_AT_2,150
317,6,PLACE_AT_3,150
317,6,PLACE_AT_5,150
317,7,PLACE_AT_1,150
317,7,PLACE_AT_10,150
317,7,PLACE_AT_2,150
317,7,PLACE_AT_3,150
317,7,PLACE_AT_5,150
317,8,PLACE_AT_1,150
317,8,PLACE_AT_10,150
317,8,PLACE_AT_2,150
317,8,PLACE_AT_3,150
317,8,PLACE_AT_5,150
331,1,PLACE_AT_1,150
331,1,PLACE_AT_10,150
331,1,PLACE_AT_2,150
331,1,PLACE_AT_3,150
331,1,PLACE_AT_5,150
331,2,PLACE_AT_1,150
331,2,PLACE_AT_10,150
331,2,PLACE_AT_2,150
331,2,PLACE_AT_3,150
331,2,PLACE_AT_5,150
331,3,PLACE_AT_1,150
331,3,PLACE_AT_10,150
331,3,PLACE_AT_2,150
331,3,PLACE_AT_3,150
331,3,PLACE_AT_5,150
331,4,PLACE_AT_1,150
331,4,PLACE_AT_10,150
331,4,PLACE_AT_2,150
331,4,PLACE_AT_3,150
331,4,PLACE_AT_5,150
331,5,PLACE_AT_1,150
331,5,PLACE_AT_10,150
331,5,PLACE_AT_2,150
331,5,PLACE_AT_3,150
331,5,PLACE_AT_5,150
331,6,PLACE_AT_1,150
331,6,PLACE_AT_10,150
331,6,PLACE_AT_2,150
331,6,PLACE_AT_3,150
331,6,PLACE_AT_5,150
331,7,PLACE_AT_1,150
331,7,PLACE_AT_10,150
331,7,PLACE_AT_2,150
331,7,PLACE_AT_3,150
331,7,PLACE_AT_5,150
331,8,PLACE_AT_1,150
331,8,PLACE_AT_10,150
331,8,PLACE_AT_2,150
331,8,PLACE_AT_3,150
331,8,PLACE_AT_5,150
337,1,PLACE_AT_1,150
337,1,PLACE_AT_10,150
337,1,PLACE_AT_2,150
337,1,PLACE_AT_3,150
337,1,PLACE_AT_5,150
337,2,PLACE_AT_1,150
337,2,PLACE_AT_10,150
337,2,PLACE_AT_2,150
337,2,PLACE_AT_3,150
337,2,PLACE_AT_5,150
337,3,PLACE_AT_1,150
337,3,PLACE_AT_10,150
337,3,PLACE_AT_2,150
337,3,PLACE_AT_3,150
337,3,PLACE_AT_5,150
337,4,PLACE_AT_1,150
337,4,PLACE_AT_10,150
337,4,PLACE_AT_2,150
337,4,PLACE_AT_3,150
337,4,PLACE_AT_5,150
337,5,PLACE_AT_1,150
337,5,PLACE_AT_10,150
337,5,PLACE_AT_2,150
337,5,PLACE_AT_3,150
337,5,PLACE_AT_5,150
337,6,PLACE_AT_1,150
337,6,PLACE_AT_10,150
337,6,PLACE_AT_2,150
337,6,PLACE_AT_3,150
337,6,PLACE_AT_5,150
337,7,PLACE_AT_1,150
337,7,PLACE_AT_10,150
337,7,PLACE_AT_2,150
337,7,PLACE_AT_3,150
337,7,PLACE_AT_5,150
337,8,PLACE_AT_1,150
337,8,PLACE_AT_10,150
337,8,PLACE_AT_2,150
337,8,PLACE_AT_3,150
337,8,PLACE_AT_5,150
347,1,PLACE_AT_1,150
347,1,PLACE_AT_10,150
347,1,PLACE_AT_2,150
347,1,PLACE_AT_3,150
347,1,PLACE_AT_5,150
347,2,PLACE_AT_1,150
347,2,PLACE_AT_10,150
347,2,PLACE_AT_2,150
347,2,PLACE_AT_3,150
347,2,PLACE_AT_5,150
347,3,PLACE_AT_1,150
347,3,PLACE_AT_10,150
347,3,PLACE_AT_2,150
347,3,PLACE_AT_3,150
347,3,PLACE_AT_5,150
347,4,PLACE_AT_1,150
347,4,PLACE_AT_10,150
347,4,PLACE_AT_2,150
347,4,PLACE_AT_3,150
347,4,PLACE_AT_5,150
347,5,PLACE_AT_1,150
347,5,PLACE_AT_10,150
347,5,PLACE_AT_2,150
347,5,PLACE_AT_3,150
347,5,PLACE_AT_5,150
347,6,PLACE_AT_1,150
347,6,PLACE_AT_10,150
347,6,PLACE_AT_2,150
347,6,PLACE_AT_3,150
347,6,PLACE_AT_5,150
347,7,PLACE_AT_1,150
347,7,PLACE_AT_10,150
347,7,PLACE_AT_2,150
347,7,PLACE_AT_3,150
347,7,PLACE_AT_5,150
347,8,PLACE_AT_1,150
347,8,PLACE_AT_10,150
347,8,PLACE_AT_2,150
347,8,PLACE_AT_3,150
347,8,PLACE_AT_5,150
349,1,PLACE_AT_1,150
349,1,PLACE_AT_10,150
349,1,PLACE_AT_2,150
349,1,PLACE_AT_3,150
349,1,PLACE_AT_5,150
349,2,PLACE_AT_1,150
349,2,PLACE_AT_10,150
349,2,PLACE_AT_2,150
349,2,PLACE_AT_3,150
349,2,PLACE_AT_5,150
349,3,PLACE_AT_1,150
349,3,PLACE_AT_10,150
349,3,PLACE_AT_2,150
349,3,PLACE_AT_3,150
349,3,PLACE_AT_5,150
349,4,PLACE_AT_1,150
349,4,PLACE_AT_10,150
349,4,PLACE_AT_2,150
349,4,PLACE_AT_3,150
349,4,PLACE_AT_5,150
349,5,PLACE_AT_1,150
349,5,PLACE_AT_10,150
349,5,PLACE_AT_2,150
349,5,PLACE_AT_3,150
349,5,PLACE_AT_5,150
349,6,PLACE_AT_1,150
349,6,PLACE_AT_10,150
349,6,PLACE_AT_2,150
349,6,PLACE_AT_3,150
349,6,PLACE_AT_5,150
349,7,PLACE_AT_1,150
349,7,PLACE_AT_10,150
349,7,PLACE_AT_2,150
349,7,PLACE_AT_3,150
349,7,PLACE_AT_5,150
349,8,PLACE_AT_1,150
349,8,PLACE_AT_10,150
349,8,PLACE_AT_2,150
349,8,PLACE_AT_3,150
349,8,PLACE_AT_5,150
353,1,PLACE_AT_1,150
353,1,PLACE_AT_10,150
353,1,PLACE_AT_2,150
353,1,PLACE_AT_3,150
353,1,PLACE_AT_5,150
353,2,PLACE_AT_1,150
353,2,PLACE_AT_10,150
353,2,PLACE_AT_2,150
353,2,PLACE_AT_3,150
353,2,PLACE_AT_5,150
353,3,PLACE_AT_1,150
353,3,PLACE_AT_10,150
353,3,PLACE_AT_2,150
353,3,PLACE_AT_3,150
353,3,PLACE_AT_5,150
353,4,PLACE_AT_1,150
353,4,PLACE_AT_10,150
353,4,PLACE_AT_2,150
353,4,PLACE_AT_3,150
353,4,PLACE_AT_5,150
353,5,PLACE_AT_1,150
353,5,PLACE_AT_10,150
353,5,PLACE_AT_2,150
353,5,PLACE_AT_3,150
353,5,PLACE_AT_5,150
353,6,PLACE_AT_1,150
353,6,PLACE_AT_10,150
353,6,PLACE_AT_2,150
353,6,PLACE_AT_3,150
353,6,PLACE_AT_5,150
353,7,PLACE_AT_1,150
353,7,PLACE_AT_10,150
353,7,PLACE_AT_2,150
353,7,PLACE_AT_3,150
353,7,PLACE_AT_5,150
353,8,PLACE_AT_1,150
353,8,PLACE_AT_10,150
353,8,PLACE_AT_2,150
353,8,PLACE_AT_3,150
353,8,PLACE_AT_5,150
359,1,PLACE_AT_1,150
359,1,PLACE_AT_10,150
359,1,PLACE_AT_2,150
359,1,PLACE_AT_3,150
359,1,PLACE_AT_5,150
359,2,PLACE_AT_1,150
359,2,PLACE_AT_10,150
359,2,PLACE_AT_2,150
359,2,PLACE_AT_3,150
359,2,PLACE_AT_5,150
359,3,PLACE_AT_1,150
359,3,PLACE_AT_10,150
359,3,PLACE_AT_2,150
359,3,PLACE_AT_3,150
359,3,PLACE_AT_5,150
359,4,PLACE_AT_1,150
359,4,PLACE_AT_10,150
359,4,PLACE_AT_2,150
359,4,PLACE_AT_3,150
359,4,PLACE_AT_5,150
359,5,PLACE_AT_1,150
359,5,PLACE_AT_10,150
359,5,PLACE_AT_2,150
359,5,PLACE_AT_3,150
359,5,PLACE_AT_5,150
359,6,PLACE_AT_1,150
359,6,PLACE_AT_10,150
359,6,PLACE_AT_2,150
359,6,PLACE_AT_3,150
359,6,PLACE_AT_5,150
359,7,PLACE_AT_1,150
359,7,PLACE_AT_10,150
359,7,PLACE_AT_2,150
359,7,PLACE_AT_3,150
359,7,PLACE_AT_5,150
359,8,PLACE_AT_1,150
359,8,PLACE_AT_10,150
359,8,PLACE_AT_2,150
359,8,PLACE_AT_3,150
359,8,PLACE_AT_5,150
367,1,PLACE_AT_1,150
367,1,PLACE_AT_10,150
367,1,PLACE_AT_2,150
367,1,PLACE_AT_3,150
367,1,PLACE_AT_5,150
367,2,PLACE_AT_1,150
367,2,PLACE_AT_10,150
367,2,PLACE_AT_2,150
367,2,PLACE_AT_3,150
367,2,PLACE_AT_5,150
367,3,PLACE_AT_1,150
367,3,PLACE_AT_10,150
367,3,PLACE_AT_2,150
367,3,PLACE_AT_3,150
367,3,PLACE_AT_5,150
367,4,PLACE_AT_1,150
367,4,PLACE_AT_10,150
367,4,PLACE_AT_2,150
367,4,PLACE_AT_3,150
367,4,PLACE_AT_5,150
367,5,PLACE_AT_1,150
367,5,PLACE_AT_10,150
367,5,PLACE_AT_2,150
367,5,PLACE_AT_3,150
367,5,PLACE_AT_5,150
367,6,PLACE_AT_1,150
367,6,PLACE_AT_10,150
367,6,PLACE_AT_2,150
367,6,PLACE_AT_3,150
367,6,PLACE_AT_5,150
367,7,PLACE_AT_1,150
367,7,PLACE_AT_10,150
367,7,PLACE_AT_2,150
367,7,PLACE_AT_3,150
367,7,PLACE_AT_5,150
367,8,PLACE_AT_1,150
367,8,PLACE_AT_10,150
367,8,PLACE_AT_2,150
367,8,PLACE_AT_3,150
367,8,PLACE_AT_5,150
